"Cliente_ID","Edad","Genero","Articulo Comprado","Categoria","Monto de compra (USD)","Ciudad","Tamaño","Color","Calificacion_cliente","Suscripcion","Envio","Descuento aplicado","Codigo promocional usado","Compas anteriores","Metodo de pago","Frecuencia de compras"
"98","21","Hombre","Calzado","Calzado","92","Virginia","M","Cerceta","4.8","Si","Recogida en tienda","Si","Si","37","Efectivo","Anualmente"
"99","20","Hombre","Vaqueros","Ropa","67","Nueva York","XL","Cerceta","2.6","Si","Aire al día siguiente","Si","Si","20","Transferencia bancaria","Anualmente"
"100","26","Hombre","Sudadera con capucha","Ropa","40","Misuri","XL","Añil","3.7","Si","Expres","Si","Si","33","Tarjeta de débito","Trimestral"
"101","62","Hombre","Gafas de sol","Accesorios","98","Dakota del Sur","M","Marrón","2.7","Si","Expres","Si","Si","31","Efectivo","Quincenal"
"102","27","Hombre","Abrigo","Abrigos","85","Dakota del Norte","XL","Blanco","4.6","Si","Expres","Si","Si","50","Tarjeta de crédito","Quincenal"
"103","51","Hombre","Calcetines","Ropa","67","Oklahoma","L","Violeta","4.8","Si","Aire al día siguiente","Si","Si","35","Tarjeta de crédito","Trimestral"
"104","54","Hombre","Botas","Calzado","89","Virginia Occidental","L","Rojo","4","Si","Aire al día siguiente","Si","Si","22","Venmo","Quincenal"
"105","55","Hombre","Gafas de sol","Accesorios","24","Nuevo Hampshire","L","Rosado","4.4","Si","Envío en 2 días","Si","Si","1","PayPal","Mensual"
"106","69","Hombre","Mochila","Accesorios","96","Nueva York","M","Carbón","3.6","Si","Aire al día siguiente","Si","Si","4","Transferencia bancaria","Anualmente"
"107","64","Hombre","Chaqueta","Abrigos","35","Minnesota","L","Blanco","3.7","Si","Estándar","Si","Si","31","Tarjeta de crédito","Mensual"
"108","28","Hombre","Zapatos deportivos","Calzado","67","Maryland","L","Aceituna","3.1","Si","Aire al día siguiente","Si","Si","46","PayPal","Quincenal"
"109","70","Hombre","Calcetines","Ropa","79","Montana","L","Morado","3.4","Si","Aire al día siguiente","Si","Si","32","Transferencia bancaria","Quincenal"
"110","58","Hombre","Camiseta","Ropa","85","Alabama","M","Violeta","2.6","Si","Aire al día siguiente","Si","Si","43","Transferencia bancaria","Quincenal"
"111","56","Hombre","Mochila","Accesorios","26","Nueva York","M","Negro","4","Si","Estándar","Si","Si","26","Venmo","Quincenal"
"112","26","Hombre","Cinturón","Accesorios","75","Massachusetts","L","Morado","5","Si","Envío Gratis","Si","Si","9","Tarjeta de crédito","Anualmente"
"113","37","Hombre","Guantes","Accesorios","65","Florida","M","Rojo","4.3","Si","Envío Gratis","Si","Si","28","PayPal","Quincenal"
"114","44","Hombre","Tiene","Accesorios","54","New Jersey","L","Marrón","3.1","Si","Aire al día siguiente","Si","Si","20","PayPal","Trimestral"
"115","70","Hombre","Abrigo","Abrigos","95","Massachusetts","S","Azul","3.7","Si","Recogida en tienda","Si","Si","9","Efectivo","Semanal"
"116","53","Hombre","Falda","Ropa","94","Wyoming","M","Gris","3.8","Si","Estándar","Si","Si","48","Tarjeta de débito","Trimestral"
"117","55","Hombre","Calzado","Calzado","86","Virginia","S","Azul","3.4","Si","Envío Gratis","Si","Si","12","Venmo","Anualmente"
"118","50","Hombre","Sandalias","Calzado","32","Dakota del Sur","L","Amarillo","4.6","Si","Expres","Si","Si","29","Efectivo","Quincenal"
"119","50","Hombre","Suéter","Ropa","45","Kentucky","L","Naranja","4.8","Si","Envío en 2 días","Si","Si","27","Efectivo","Quincenal"
"120","38","Hombre","Abrigo","Abrigos","76","Wyoming","M","Naranja","4.3","Si","Expres","Si","Si","44","Efectivo","Anualmente"
"121","64","Hombre","Tiene","Accesorios","84","Virginia Occidental","L","Rojo","4","Si","Expres","Si","Si","32","Transferencia bancaria","Anualmente"
"122","19","Hombre","Shorts","Ropa","72","Virginia","M","Aceituna","4.2","Si","Estándar","Si","Si","11","Efectivo","Quincenal"
"123","40","Hombre","Mochila","Accesorios","40","Washington","L","Marrón","4.8","Si","Envío en 2 días","Si","Si","44","Efectivo","Quincenal"
"124","57","Hombre","Suéter","Ropa","89","Luisiana","L","Marrón","3.1","Si","Envío Gratis","Si","Si","46","Efectivo","Semanal"
"125","44","Hombre","Suéter","Ropa","86","Nevada","M","Gris","3.1","Si","Aire al día siguiente","Si","Si","50","PayPal","Anualmente"
"126","49","Hombre","Shorts","Ropa","54","California","M","Añil","3.6","Si","Aire al día siguiente","Si","Si","45","Venmo","Trimestral"
"127","43","Hombre","Shorts","Ropa","36","Misisipi","L","Rosado","3.9","Si","Recogida en tienda","Si","Si","48","Efectivo","Trimestral"
"128","24","Hombre","Suéter","Ropa","89","Misisipi","M","Gris","4.8","Si","Aire al día siguiente","Si","Si","26","Tarjeta de crédito","Semanal"
"129","20","Hombre","Bufanda","Accesorios","32","California","M","Oro","4.7","Si","Estándar","Si","Si","21","Tarjeta de crédito","Quincenal"
"130","24","Hombre","Vestido","Ropa","67","Pensilvania","XL","Aceituna","4.2","Si","Envío en 2 días","Si","Si","49","PayPal","Quincenal"
"131","44","Hombre","Bufanda","Accesorios","39","Kentucky","L","Violeta","3.7","Si","Aire al día siguiente","Si","Si","13","PayPal","Quincenal"
"132","28","Hombre","Falda","Ropa","29","Maine","L","Añil","3.9","Si","Estándar","Si","Si","46","Tarjeta de crédito","Semanal"
"133","30","Hombre","Mochila","Accesorios","58","Nuevo México","M","Naranja","4.7","Si","Envío en 2 días","Si","Si","42","PayPal","Semanal"
"134","52","Hombre","Suéter","Ropa","65","Montana","M","Violeta","2.5","Si","Aire al día siguiente","Si","Si","25","Venmo","Anualmente"
"135","43","Hombre","Tiene","Accesorios","94","Texas","L","Gris","4.9","Si","Recogida en tienda","Si","Si","25","Efectivo","Mensual"
"136","43","Hombre","Sandalias","Calzado","81","Kansas","M","Morado","4.1","Si","Expres","Si","Si","12","PayPal","Trimestral"
"137","39","Hombre","Blusa","Ropa","86","Carolina del Sur","M","Blanco","3.3","Si","Envío Gratis","Si","Si","4","Tarjeta de débito","Trimestral"
"138","68","Hombre","Zapatos deportivos","Calzado","43","Colorado","M","Turquesa","4.7","Si","Envío Gratis","Si","Si","38","PayPal","Semanal"
"139","68","Hombre","Falda","Ropa","29","Georgia","M","Marrón","4.4","Si","Recogida en tienda","Si","Si","42","Transferencia bancaria","Semanal"
"140","49","Hombre","Abrigo","Abrigos","95","Florida","M","Blanco","3.8","Si","Recogida en tienda","Si","Si","30","Venmo","Anualmente"
"141","63","Hombre","Camisa","Ropa","28","Carolina del Norte","L","Amarillo","3.9","Si","Envío en 2 días","Si","Si","50","Tarjeta de crédito","Semanal"
"142","56","Hombre","Guantes","Accesorios","46","Virginia","M","Turquesa","4.9","Si","Envío Gratis","Si","Si","45","PayPal","Semanal"
"143","37","Hombre","Chaqueta","Abrigos","58","Nebraska","L","Violeta","3.1","Si","Envío Gratis","Si","Si","33","Tarjeta de crédito","Quincenal"
"144","30","Hombre","Abrigo","Abrigos","48","Misuri","M","Beige","2.7","Si","Recogida en tienda","Si","Si","25","PayPal","Trimestral"
"145","19","Hombre","Calzado","Calzado","43","New Jersey","M","Plata","3.2","Si","Expres","Si","Si","25","Efectivo","Mensual"
"146","24","Hombre","Joyería","Accesorios","95","Misuri","M","Cerceta","4.5","Si","Estándar","Si","Si","44","Tarjeta de débito","Trimestral"
"147","52","Hombre","Falda","Ropa","30","Colorado","S","Negro","4","Si","Estándar","Si","Si","21","Venmo","Quincenal"
"148","63","Hombre","Calzado","Calzado","64","Idaho","M","Morado","3.5","Si","Envío en 2 días","Si","Si","31","Transferencia bancaria","Quincenal"
"149","37","Hombre","Guantes","Accesorios","90","Wyoming","M","Gris","2.6","Si","Recogida en tienda","Si","Si","47","Tarjeta de débito","Anualmente"
"150","38","Hombre","Pantalón","Ropa","76","Delaware","M","Blanco","3.2","Si","Envío Gratis","Si","Si","14","PayPal","Mensual"
"151","35","Hombre","Botas","Calzado","96","California","L","Cian","4.9","Si","Estándar","Si","Si","17","Tarjeta de débito","Trimestral"
"152","28","Hombre","Gafas de sol","Accesorios","47","Dakota del Norte","L","Turquesa","4.5","Si","Aire al día siguiente","Si","Si","3","Venmo","Anualmente"
"153","30","Hombre","Camisa","Ropa","85","Carolina del Sur","S","Marrón","4.3","Si","Expres","Si","Si","42","Venmo","Anualmente"
"154","69","Hombre","Sudadera con capucha","Ropa","55","Carolina del Norte","M","Marrón","3.2","Si","Estándar","Si","Si","22","Tarjeta de débito","Anualmente"
"155","41","Hombre","Vestido","Ropa","98","Oklahoma","M","Carbón","3.6","Si","Aire al día siguiente","Si","Si","21","Venmo","Trimestral"
"156","63","Hombre","Calcetines","Ropa","77","Maine","S","Aceituna","4.3","Si","Envío Gratis","Si","Si","21","Transferencia bancaria","Trimestral"
"157","35","Hombre","Shorts","Ropa","26","Misuri","M","Lavanda","4","Si","Estándar","Si","Si","40","Tarjeta de débito","Anualmente"
"158","36","Hombre","Tiene","Accesorios","68","Vermont","S","Amarillo","3","Si","Aire al día siguiente","Si","Si","1","Transferencia bancaria","Quincenal"
"159","25","Hombre","Camisa","Ropa","73","Connecticut","XL","Cerceta","4.1","Si","Estándar","Si","Si","50","Transferencia bancaria","Mensual"
"160","58","Hombre","Guantes","Accesorios","27","Nuevo Hampshire","M","Carbón","3.8","Si","Recogida en tienda","Si","Si","39","Transferencia bancaria","Trimestral"
"161","27","Hombre","Guantes","Accesorios","23","Texas","M","Naranja","4.6","Si","Envío Gratis","Si","Si","34","Venmo","Mensual"
"162","65","Hombre","Mochila","Accesorios","49","Dakota del Norte","M","Aceituna","3","Si","Expres","Si","Si","29","Venmo","Quincenal"
"163","54","Hombre","Gafas de sol","Accesorios","74","California","M","Turquesa","3","Si","Recogida en tienda","Si","Si","31","PayPal","Quincenal"
"164","54","Hombre","Falda","Ropa","67","Virginia","M","Morado","3.4","Si","Estándar","Si","Si","8","Tarjeta de débito","Semanal"
"165","59","Hombre","Bolso","Accesorios","65","Delaware","S","Morado","2.6","Si","Envío Gratis","Si","Si","5","Tarjeta de crédito","Quincenal"
"166","42","Hombre","Bolso","Accesorios","60","Kentucky","S","Amarillo","2.8","Si","Recogida en tienda","Si","Si","7","Efectivo","Mensual"
"167","46","Hombre","Zapatos deportivos","Calzado","31","Delaware","XL","Añil","4","Si","Recogida en tienda","Si","Si","30","Efectivo","Mensual"
"168","33","Hombre","Guantes","Accesorios","27","Arkansas","M","Verde","4","Si","Expres","Si","Si","14","Tarjeta de crédito","Trimestral"
"169","34","Hombre","Calzado","Calzado","80","Luisiana","M","Magenta","3","Si","Expres","Si","Si","5","Efectivo","Quincenal"
"170","27","Hombre","Chaqueta","Abrigos","30","Nevada","S","Oro","3.3","Si","Estándar","Si","Si","3","PayPal","Trimestral"
"171","52","Hombre","Camisa","Ropa","25","Wyoming","M","Marrón","2.6","Si","Recogida en tienda","Si","Si","46","Venmo","Quincenal"
"172","29","Hombre","Shorts","Ropa","35","Virginia","M","Azul","3.6","Si","Recogida en tienda","Si","Si","4","Tarjeta de crédito","Semanal"
"173","54","Hombre","Joyería","Accesorios","67","Nebraska","M","Violeta","3.9","Si","Aire al día siguiente","Si","Si","42","Tarjeta de crédito","Quincenal"
"174","25","Hombre","Tiene","Accesorios","46","Hawai","M","Turquesa","3.4","Si","Estándar","Si","Si","30","Efectivo","Anualmente"
"175","41","Hombre","Calzado","Calzado","35","Vermont","L","Marrón","3.5","Si","Expres","Si","Si","37","Venmo","Anualmente"
"176","53","Hombre","Abrigo","Abrigos","86","Oklahoma","L","Violeta","2.8","Si","Aire al día siguiente","Si","Si","2","Transferencia bancaria","Anualmente"
"177","53","Hombre","Mochila","Accesorios","81","Nuevo Hampshire","L","Negro","2.7","Si","Aire al día siguiente","Si","Si","30","Tarjeta de crédito","Trimestral"
"178","21","Hombre","Sudadera con capucha","Ropa","42","Kansas","L","Magenta","3.7","Si","Aire al día siguiente","Si","Si","47","Transferencia bancaria","Mensual"
"179","61","Hombre","Falda","Ropa","43","Idaho","L","Lavanda","4.3","Si","Envío en 2 días","Si","Si","21","PayPal","Trimestral"
"180","64","Hombre","Botas","Calzado","31","Illinois","M","Violeta","4.9","Si","Recogida en tienda","Si","Si","9","Transferencia bancaria","Quincenal"
"181","51","Hombre","Sandalias","Calzado","81","Dakota del Sur","L","Verde","3.3","Si","Recogida en tienda","Si","Si","12","Tarjeta de débito","Quincenal"
"182","32","Hombre","Pantalón","Ropa","61","Massachusetts","M","Beige","4.7","Si","Aire al día siguiente","Si","Si","4","Transferencia bancaria","Semanal"
"183","38","Hombre","Guantes","Accesorios","96","Alabama","XL","Morado","2.8","Si","Recogida en tienda","Si","Si","10","Tarjeta de débito","Anualmente"
"184","58","Hombre","Falda","Ropa","29","Ohio","XL","Beige","3.6","Si","Envío en 2 días","Si","Si","26","Tarjeta de crédito","Semanal"
"185","32","Hombre","Zapatos deportivos","Calzado","33","Hawai","L","Cian","3","Si","Expres","Si","Si","40","Efectivo","Quincenal"
"186","46","Hombre","Camiseta","Ropa","32","Wisconsin","XL","Plata","4.5","Si","Recogida en tienda","Si","Si","34","Transferencia bancaria","Quincenal"
"187","39","Hombre","Mochila","Accesorios","56","Minnesota","S","Lavanda","2.9","Si","Estándar","Si","Si","31","Tarjeta de débito","Anualmente"
"188","19","Hombre","Calzado","Calzado","94","Georgia","S","Morado","3.3","Si","Recogida en tienda","Si","Si","1","Transferencia bancaria","Quincenal"
